Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-001	Growling	Cannibal Corpse	Gore Obsessed	28	Sanded Faceless	2002	219999	15	3:51	3:25-3:28	3593.7	"""Tedious rasping, Painstakingly grate the skin"""	8 8 8 4. 4. 4r 8 8 8 8 4 8 4.	Contour: low low low low low low low low low low low low	6/8	180	3661.826268	https://open.spotify.com/track/6Pc9WrmJwQ8PnirdzZs21w?si=578f9344bcc14704	excerpts_audio/EXCE-001.mp3	5/3/2025
EXCE-002	Growling	Cannibal Corpse	Gore Obsessed	28	Drowning in Viscera	2002	284499	16	3:36	1:20-1:25	5085.65	"""Inundated languid doom"""	4. 4. 4. 4. 4. 4. 2.	Contour: low low low low low low low	6/8	170	3265.298793	https://open.spotify.com/track/5ISIhBnzmN5c7YV6btNv98?si=49136a3aeb9c4508	excerpts_audio/EXCE-002.mp3	5/3/2025
EXCE-003	Growling	Cannibal Corpse	Gore Obsessed	28	Hung and Bled	2002	227125	16	4:13	3:06-3:10	4234.51	"""Devoured by evil, Slave to this hell"""	16 16 16 8 4 4 4 16 16 8	Contour: low low low low medium low low low low low	3/4	83	3074.674492	https://open.spotify.com/track/7oSwyTjxl0BsDbmo0wRHF4?si=aa416c6b64d14cb3	excerpts_audio/EXCE-003.mp3	5/3/2025
EXCE-004	Growling	Cannibal Corpse	Vile	31	Eaten from Inside	1996	405383	18	3:43	1:59-2:03	4515.17	"""Severing, parts and veins in the way"""	12 12 3 6 6 6 6 6 6	Contour: high medium low low low low low low low	5/4	143	4397.659363	https://open.spotify.com/track/1WqkUxNmokP1zxOrl41Pwu?si=b4b8cefbf2534504	excerpts_audio/EXCE-004.mp3	6/3/2025
EXCE-005	Growling	Cannibal Corpse	Vile	31	Monolith	1996	363202	18	4:24	1:39-1:43	4276.92	"""Countless decomposing corpses walk upon the earth"""	16 16 16 16 16 16 16 16 16 16 16 16 4	Contour: low low low low low low low low low low low low low	4/4	105	3679.603948	https://open.spotify.com/track/5glOU6uyWmQrbuL6mbBMr2?si=8e8d68d36de04c27	excerpts_audio/EXCE-005.mp3	6/3/2025
EXCE-006	Growling	Cannibal Corpse	Vile	31	Puncture Wound Massacre	1996	460495	19	1:41	1:09-1:12	2216.35	"""Hate for them still drives my rage"""	8 8 8 8 8 8 8	Contour: low low low low low low low	4/4	143	3773.409937	https://open.spotify.com/track/6tNy0SL7YeBrTJmDwTjnzA?si=f82c6bca6cbc4c52	excerpts_audio/EXCE-006.mp3	6/3/2025
EXCE-007	Growling	Cannibal Corpse	A Skeletal Domain	32	Bloodstained Cement	2014	559513	16	3:41	2:06-2:10	4491.56	"""No weakness to exploit, His ambush failed"""	8r 8 8 8 16 8 6 8 8 8 2	Contour: low low low low low low low low low medium	4/4	107	3563.388228	https://open.spotify.com/track/5RGufl8vRVwPf04em0xqcn?si=cd7af11212014928	excerpts_audio/EXCE-007.mp3	6/3/2025
EXCE-008	Growling	Cannibal Corpse	A Skeletal Domain	32	Asphyxiate to Resuscitate	2014	548934	16	3:47	1:52-1:57	5591.72	"""Choking, Starling, Breathless, Asphyxiate"""	4r. 4r. 4 4 4r. 4r. 4 4 4r. 4r. 4 4 4r. 4r. 8 8 8 8	Contour: low medium1 medium1 medium2 low medium1 low low low low	6/8 - 2/4	200	3463.410316	https://open.spotify.com/track/1LWanVoLc3bVtT7ItW4Ijc?si=2aea4ec1f83840f9	excerpts_audio/EXCE-008.mp3	6/3/2025
EXCE-009	Growling	Cannibal Corpse	A Skeletal Domain	32	Hollowed Bodies	2014	493877	16	3:05	1:18-1:22	3492.7	"""13 more corpses are found"""	4 4 4 4 4 4 2	Contour: low low low low low low medium	3/4	190	3474.177635	https://open.spotify.com/track/4Jw4JYroLKiKgPqgsAuxgR?si=229f9eaca0f34c1f	excerpts_audio/EXCE-009.mp3	6/3/2025
EXCE-010	Growling	Carcass	Wake Up and Smell the...	27	Hepatic Tissue Fermentation	1996	73982	6	6:11	2:44-2:48	3367.3	"""neural cells fataly quenched"""	4 4 2 8 8 4 2	Contour: low low low low low low low	4/4	220	3424.611434	https://open.spotify.com/track/7zGW4B7tw5WqerzHIBrQbB?si=dcd1f022a3404800	excerpts_audio/EXCE-010.mp3	6/3/2025
