Excerpt_ID	Technique	Artist	Album	Song	Spectral_Centroid	Duration_ms
EXCE-001	Growling	Cannibal Corpse	Gore Obsessed	Sanded Faceless	3661.8262677690013	3593.7
EXCE-002	Growling	Cannibal Corpse	Gore Obsessed	Drowning in Viscera	3265.2987932466754	5085.65
EXCE-003	Growling	Cannibal Corpse	Gore Obsessed	Hung and Bled	3074.6744917692067	4234.51
EXCE-004	Growling	Cannibal Corpse	Vile	Eaten from Inside	4397.6593627506045	4515.17
EXCE-005	Growling	Cannibal Corpse	Vile	Monolith	3679.6039481959433	4276.92
EXCE-006	Growling	Cannibal Corpse	Vile	Puncture Wound Massacre	3773.409936809221	2216.35
EXCE-007	Growling	Cannibal Corpse	A Skeletal Domain	Bloodstained Cement	3563.3882277090142	4491.56
EXCE-008	Growling	Cannibal Corpse	A Skeletal Domain	Asphyxiate to Resuscitate	3463.410315771802	5591.72
EXCE-009	Growling	Cannibal Corpse	A Skeletal Domain	Hollowed Bodies	3474.17763503816	3492.7
EXCE-010	Growling	Carcass	Wake Up and Smell the...	Hepatic Tissue Fermentation	3424.611434398656	3367.3
EXCE-011	Growling	Carcass	Wake Up and Smell the...	Hepatic Tissue Fermentation II	3926.639822572916	4674.4
EXCE-012	Screaming	Carcass	Wake Up and Smell the...	Edge of Darkness - Radio 1 Rock Show Session	3262.8105942099905	6594.94
EXCE-013	Growling	Carcass	Reek of Putrefaction	Splattered Cavities	2747.8724590679208	2459.55
EXCE-014	Growling	Carcass	Reek of Putrefaction	Pungent Excruciation	2895.6552788132735	2877.73
EXCE-015	Growling	Carcass	Reek of Putrefaction	Malignant Defecation	3063.0738647140192	2685.42
EXCE-016	Growling	Carcass	Symphonies of Sickness	Crepitating Bowel Erosion	4319.944145217065	5532.31
EXCE-017	Screaming	Carcass	Symphonies of Sickness	Cadaveric Incubator of Endoparasites	4037.698774900166	2668.16
EXCE-018	Growling	Carcass	Symphonies of Sickness	Slash Dementia	3834.123941625278	6579.32
EXCE-019	Growling	Dying Fetus	Killing on Adrenaline	We Are Your Enemy	3258.8099003849643	2604.26
EXCE-020	Growling	Dying Fetus	Killing on Adrenaline	Absolute Defiance	3641.1869609230307	2731.0
EXCE-021	Growling	Dying Fetus	Killing on Adrenaline	Judgement Day	2654.3193469055363	4630.09
EXCE-022	Growling	Dying Fetus	War of Attrition	The Ancient Rivalry	3251.1893043771593	2847.3
EXCE-023	Growling	Dying Fetus	War of Attrition	Parasites of Catastrophe	3365.2252995198596	3851.72
EXCE-024	Growling	Dying Fetus	War of Attrition	Obsolete Deterrence	3509.613018839195	2793.95
EXCE-025	Growling	The Faceless	In Becoming a Ghost	The Terminal Breath	4802.811520182155	4003.58
EXCE-026	Growling	The Faceless	In Becoming a Ghost	I am	4984.2630239952705	6056.79
EXCE-027	Growling	The Faceless	In Becoming a Ghost	Shake The Disease	4404.675292008724	4484.19
EXCE-028	Growling	Incantation	Decimate Christendom	Horns of Eradication	3521.1025591033963	6871.56
EXCE-029	Growling	Incantation	Decimate Christendom	Feeble Existence	3142.1286976940223	5900.7
EXCE-030	Growling	Incantation	Decimate Christendom	Thorns Of Everlasting Persecution	3274.6431074098837	4510.68
EXCE-031	Growling	Incantation	Primordial Domination	Extirpated Dominus	2920.249791336021	4687.3
EXCE-032	Growling	Incantation	Primordial Domination	Conquered God	3188.2471339249673	8779.89
EXCE-033	Growling	Incantation	Primordial Domination	Lead to Desolation	3231.908427207007	7726.92
EXCE-034	Growling	Incantation	Vanquish in Vengeance	From Hollow Sands	3651.7491624697086	3674.56
EXCE-035	Growling	Incantation	Vanquish in Vengeance	Haruspex	3527.1564231804186	7119.55
EXCE-036	Growling	Incantation	Vanquish in Vengeance	Profound Loathing	3474.001774067942	4149.68
EXCE-037	Growling	Morbid Angel	Abominations of Desolation	Abominations	3386.535903733344	3461.09
EXCE-038	Growling	Morbid Angel	Abominations of Desolation	The Gate / Lord of All Fevers	3293.6568008896948	1923.2
EXCE-039	Screaming	Morbid Angel	Abominations of Desolation	Hell Spawn	3657.879661056281	2781.25
EXCE-040	Screaming	Morbid Angel	Heretic	Stricken Arise	2929.273614381589	2900.16
EXCE-041	Growling	Morbid Angel	Heretic	Within Thy Enemy	3009.511901927955	4474.78
EXCE-042	Growling	Morbid Angel	Heretic	God Of Our Own Divinity	3093.899555829562	3089.46
EXCE-043	Growling	Morbid Angel	Kingdoms Disdained	From the Hand of Kings	3358.3061872376766	5361.7
EXCE-044	Growling	Morbid Angel	Kingdoms Disdained	The Fall of Idols	4056.9301937150635	2671.95
EXCE-045	Growling	Morbid Angel	Kingdoms Disdained	For No Master	3392.9734759112393	3843.2
EXCE-046	Screaming	Suicide Silence	Suicide Silence	Don't Be Careful You Might Hurt Yourself	2554.6988618117975	3732.59
EXCE-047	Screaming	Suicide Silence	Suicide Silence	Run	2990.9374358091036	4963.36
EXCE-048	Screaming	Suicide Silence	Suicide Silence	Hold Me up, Hold Me Down	2662.9450867702503	4410.2
EXCE-049	Screaming	Suicide Silence	No Time to Bleed	Your Creations	3046.77303570277	4281.36
EXCE-050	Screaming	Suicide Silence	No Time to Bleed	Something Invisible	3057.9058625274124	4306.46
EXCE-051	Screaming	Suicide Silence	No Time to Bleed	Suffer	3265.892525170937	3431.79
EXCE-052	Screaming	Suicide Silence	The Black Crown	Cancerous Skies	3496.794113700525	3617.23
EXCE-053	Screaming	Suicide Silence	The Black Crown	Smashed	3158.034326431581	4618.03
EXCE-054	Screaming	Suicide Silence	The Black Crown	Cross-Eyed Catastrophe	3362.2426553719934	3146.26
EXCE-055	Clean	Avenged Sevenfold	The Stage	Simulation	3936.5597409863685	5276.51
EXCE-056	Clean	Avenged Sevenfold	The Stage	Higher	2859.4836750169147	3937.91
EXCE-057	Clean	Avenged Sevenfold	The Stage	Femi Paradox	3564.7294210153505	4659.89
EXCE-058	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	Breaking Their Hold	2709.328903473013	2654.58
EXCE-059	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	Forgotten Faces	3207.8922572391407	4679.82
EXCE-060	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	Thin and Thin	3180.6297346025526	2321.16
EXCE-061	Clean	Avenged Sevenfold	Life Is But a Dream?	Easier	3123.368157369332	6829.64
EXCE-062	Clean	Avenged Sevenfold	Life Is But a Dream?	G	3315.157537342549	3003.92
EXCE-063	Clean	Avenged Sevenfold	Life Is But a Dream?	(D)eath	2306.3271897186687	5379.48
EXCE-064	Screaming	Architects	Nightmares	A Portrait for the Deceased	3017.8597040448335	3062.74
EXCE-065	Screaming	Architects	Nightmares	The Darkest Tomb	2771.036407492128	3785.17
EXCE-066	Screaming	Architects	Nightmares	They'll be Hanging Us Tonight	3519.941254476436	3160.59
EXCE-067	Screaming	Architects	Ruin	Save me	3714.4773415419913	5310.84
EXCE-068	Screaming	Architects	Ruin	I Can't See the Light	3951.315873005367	3493.15
EXCE-069	Screaming	Architects	Ruin	Low	3489.4345513139333	7709.12
EXCE-070	Screaming	Architects	The Here and Now	The Blues	4060.892102189335	4110.41
EXCE-071	Screaming	Architects	The Here and Now	Stay Young Forever	4285.447384709158	4574.26
EXCE-072	Screaming	Architects	The Here and Now	Year in Year Out/Up and Away	3563.5478878509707	5107.53
EXCE-073	Screaming	Cradle of Filth	The Screaming Of The Valkyries	Malignant Perfection	3554.796248335879	4249.09
EXCE-074	Screaming	Cradle of Filth	The Screaming Of The Valkyries	White Hellebore	3777.091321733278	2899.48
EXCE-075	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	A Crescendo Of Passion Bleeding	3410.005628824074	2725.92
EXCE-076	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	Summer Dying Fast	4465.225131242727	2393.83
EXCE-077	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	Of Mist And Midnight Skies	3738.059003511861	4931.66
EXCE-078	Screaming	Cradle of Filth	Thornography	Foetus Of A New Day Kicking	2989.0047956666394	2139.71
EXCE-079	Screaming	Cradle of Filth	Thornography	Lovesick for Mina	3133.5538549885737	6484.29
EXCE-080	Screaming	Cradle of Filth	Thornography	Libertina Grimm	3289.112157077366	1851.43
EXCE-081	Screaming	Cradle of Filth	Thornography	I Am the Thorn	3295.6768022884894	2334.69
EXCE-082	Screaming	Chelsea Grin	Self Inflicted	Welcome Back	3205.7081429051277	2448.93
EXCE-083	Screaming	Chelsea Grin	Self Inflicted	Life Sentence	3632.8290928517577	2789.3
EXCE-084	Screaming	Chelsea Grin	Self Inflicted	Strung Out	3686.0354465977302	4349.86
EXCE-085	Screaming	Chelsea Grin	My Damnation	Last Breath	3077.639444800389	3515.6
EXCE-086	Screaming	Chelsea Grin	My Damnation	Cursed	3201.4468448427024	3869.0
EXCE-087	Screaming	Chelsea Grin	My Damnation	Behind A Veil Of Lies	3309.8051649627564	2293.17
