Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Rhythm	Melody	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	annotations	Age_at_recording
VOX-001	K	Clean	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-001.wav	Geoffrey Uhal	20250529				
VOX-002	K	Clean_FLAT	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-002.wav	Geoffrey Uhal	20250529				
VOX-003	K	Screaming_NV	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-003.wav	Geoffrey Uhal	20250529				
VOX-004	K	Screaming_V	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-004.wav	Geoffrey Uhal	20250529				
VOX-005	K	Growling_NV	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-005.wav	Geoffrey Uhal	20250529				
VOX-006	K	Growling_V	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-006.wav	Geoffrey Uhal	20250529				
VOX-007	K	Clean	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-007.wav	Geoffrey Uhal	20250529				
VOX-008	K	Clean_FLAT	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-008.wav	Geoffrey Uhal	20250529				
VOX-009	K	Screaming_NV	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-009.wav	Geoffrey Uhal	20250529				
VOX-010	K	Screaming_V	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-010.wav	Geoffrey Uhal	20250529				
VOX-011	K	Growling_NV	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-011.wav	Geoffrey Uhal	20250529				
VOX-012	K	Growling_V	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-012.wav	Geoffrey Uhal	20250529				
VOX-013	K	Clean	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""				110	4/4	EXCE-108	audio/VOX-013.wav	Geoffrey Uhal	20250529				
VOX-014	K	Clean_FLAT	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""				110	4/4	EXCE-108	audio/VOX-014.wav	Geoffrey Uhal	20250529				
VOX-015	K	Screaming_NV	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""				110	4/4	EXCE-108	audio/VOX-015.wav	Geoffrey Uhal	20250529				
VOX-016	K	Screaming_V	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""				110	4/4	EXCE-108	audio/VOX-016.wav	Geoffrey Uhal	20250529				
VOX-017	K	Growling_NV	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""				110	4/4	EXCE-108	audio/VOX-017.wav	Geoffrey Uhal	20250529				
VOX-018	K	Growling_V	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""				110	4/4	EXCE-108	audio/VOX-018.wav	Geoffrey Uhal	20250529				
VOX-019	K	Clean	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""				110	4/4	EXCE-124	audio/VOX-019.wav	Geoffrey Uhal	20250529				
VOX-020	K	Clean_FLAT	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""				110	4/4	EXCE-124	audio/VOX-020.wav	Geoffrey Uhal	20250529				
VOX-021	K	Screaming_NV	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""				110	4/4	EXCE-124	audio/VOX-021.wav	Geoffrey Uhal	20250529				
VOX-022	K	Screaming_V	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""				110	4/4	EXCE-124	audio/VOX-022.wav	Geoffrey Uhal	20250529				
VOX-023	K	Growling_NV	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""				110	4/4	EXCE-124	audio/VOX-023.wav	Geoffrey Uhal	20250529				
VOX-024	K	Growling_V	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""				110	4/4	EXCE-124	audio/VOX-024.wav	Geoffrey Uhal	20250529				
VOX-025	K	Clean	Architects	A Portrait for the Deceased	"""Then come and drown with me"""				161	4/4	EXCE-064	audio/VOX-025.wav	Geoffrey Uhal	20250529				
VOX-026	K	Clean_FLAT	Architects	A Portrait for the Deceased	"""Then come and drown with me"""				161	4/4	EXCE-064	audio/VOX-026.wav	Geoffrey Uhal	20250529				
VOX-027	K	Screaming_NV	Architects	A Portrait for the Deceased	"""Then come and drown with me"""				161	4/4	EXCE-064	audio/VOX-027.wav	Geoffrey Uhal	20250529				
